source_id,masssb2,masssb2err,source,iso_mass,iso_mass_err,logg
Gaia DR3 3413462508748707968,0.934,0.007,Xiong+2023,0.8587897468007032,0.01050921721727665,4.501
Gaia DR3 401078859445256192,1.289,0.003,Xiong+2023,1.1952319179935755,0.04371531314372196,4.115
Gaia DR3 342946885113758720,1.655,0.013,Xiong+2023,1.34975442295951,0.0001572053705456,4.111
Gaia DR3 57344071170762880,1.09,0.004,Xiong+2023,0.898102331720037,0.0493153119924535,4.264
Gaia DR3 938680396921810304,1.488,0.011,Xiong+2023,1.3472428898016846,0.02635747128790315,4.031
Gaia DR3 2107434834610481920,0.944,0.004,Xiong+2023,0.9194462414366792,0.0200972010734553,4.638
Gaia DR3 2085564345750116608,1.741,0.004,Xiong+2023,1.6494289515649565,0.0002048591154862,3.921
Gaia DR3 2052871260847605120,1.226,0.001,Xiong+2023,1.2497789088257452,0.0001448280795052,4.164
Gaia DR3 2077496473024613632,0.942,0.004,Xiong+2023,0.8583824500921283,0.01026504471007645,4.609
Gaia DR3 2126044240713250304,1.277,0.007,Xiong+2023,1.29973264883978,0.0001445442689871,4.234
Gaia DR3 2128141417403122944,1.603,0.022,Xiong+2023,1.8938109835412764,0.052429382146910244,3.933
Gaia DR3 2085555137340101504,1.66,0.004,Xiong+2023,1.498650574437907,0.0257782133398264,4.007
Gaia DR3 2085510916355842304,1.76,0.07,Xiong+2023,1.7963926159795345,0.02438302667054055,3.862
Gaia DR3 2101510803402761344,1.32,0.06,Xiong+2023,1.2410603246136602,0.05935771720732015,4.258
Gaia DR3 2126356983051726720,1.29,0.02,Xiong+2023,1.1585356196920122,0.02003169872675735,4.241
Gaia DR3 166437168205381376,1.321,0.004,Xiong+2023,1.197859796103057,0.0366490697313428,4.212
Gaia DR3 2670251536668384128,0.956,0.007,Xiong+2023,0.8579322017552229,0.0291988623346041,3.758
Gaia DR3 2101192082470870912,1.208,0.003,Xiong+2023,1.1186717770003818,0.0192892213490485,4.103
Gaia DR3 3811041442290209024,1.065,0.031,Xiong+2023,0.9145305611266334,0.04043548299375754,4.103
Gaia DR3 3378228658638299136,2.137,0.06,Xiong+2023,2.3995738892483582,0.0002775615208594,3.974
Gaia DR3 604716006409635456,1.594,0.013,Xiong+2023,1.447821394006945,0.02503793686483095,4.111
Gaia DR3 598940203109496064,0.746,0.011,Xiong+2023,0.6598636040551366,8.882317134739637e-05,4.406
Gaia DR3 609180023619173632,1.148,0.009,Xiong+2023,1.0590818482004924,0.01044218219890295,3.971
Gaia DR3 662309731144349184,1.922,0.064,Xiong+2023,1.0960492346510002,0.11311292281867436,3.907
Gaia DR3 2877105236181481728,1.123,0.031,Xiong+2023,1.3952877261651913,0.0516987306487577,3.985
Gaia DR3 2876917666369727616,1.079,0.026,Xiong+2023,1.0360051044706375,0.01966318064385425,4.141
Gaia DR3 2551780468740290944,1.105,0.023,Xiong+2023,1.0388197469284168,0.050529514544148904,4.176
Gaia DR3 2553446435014754688,0.959,0.014,Xiong+2023,1.0382599429592765,0.02116085065216625,3.984
Gaia DR3 2552126574384836992,0.811,0.002,Xiong+2023,0.8192231163440072,0.01031073621010995,4.61
Gaia DR3 454821063670628352,1.226,0.024,Xiong+2023,1.6492494706795602,0.0001941939483462,3.966
Gaia DR3 449792825194659328,1.141,0.009,Xiong+2023,1.692500873214097,0.0507428455011288,3.859
Gaia DR3 67044581227237504,1.265,0.009,Xiong+2023,1.1167093547948448,0.0201256008886899,4.276
Gaia DR3 146788650598794752,1.238,0.004,Xiong+2023,1.3987691940488274,0.0251336713816625,4.059
Gaia DR3 3418303692807043200,1.324,0.016,Xiong+2023,1.44928561554992,0.0001923708698595,3.998
Gaia DR3 3424887667216672256,1.271,0.04,Xiong+2023,1.39853074925094,0.02507230478095715,4.01
Gaia DR3 3424566923356416640,1.534,0.015,Xiong+2023,1.3915181046020353,0.1001247183148663,4.062
Gaia DR3 3426632802628132224,1.589,0.007,Xiong+2023,1.4991440107490073,0.0002215498463646,3.974
Gaia DR3 3131579681946988416,2.024,0.04,Xiong+2023,1.8460399040026247,0.027247908563626497,4.037
Gaia DR3 3371355985114231808,1.2,0.014,Xiong+2023,1.1592645030938236,0.01045984919533895,3.997
Gaia DR3 3372265148088536320,1.583,0.057,Xiong+2023,1.1188763880012575,0.01007763637648045,4.157
Gaia DR3 3378682653860701568,1.407,0.011,Xiong+2023,1.248559698290284,0.02534411761412675,4.176
Gaia DR3 662527125207158784,0.983,0.029,Xiong+2023,1.299724999999988,0.0001444999999999,4.162
Gaia DR3 605136088570783104,1.4,0.013,Xiong+2023,1.399503999999992,0.00016184,4.119
Gaia DR3 4032659147719605248,0.669,0.004,Xiong+2023,0.6582711339183116,0.01062533204419635,4.519
Gaia DR3 1420810954300485760,1.069,0.04,Xiong+2023,0.9390664242912672,0.029033460806765,4.245
Gaia DR3 2125971226269667584,1.307,0.025,Xiong+2023,1.247806082217478,0.0257043649445837,4.179
Gaia DR3 1915194950298568320,1.187,0.007,Xiong+2023,1.0595972846629276,0.0100085279253471,4.149
Gaia DR3 2878836318456431872,1.617,0.103,Xiong+2023,1.3997288696477423,0.00015704468026885,4.089
Gaia DR3 1384585619577974144,0.712,0.007,Xiong+2023,0.6395903842002691,0.0001119662240385,4.437
Gaia DR3 608267596470455424,0.725,0.006,Xiong+2023,0.7775121047923168,0.0207640509506964,4.415
Gaia DR3 3440572857718190976,1.017,0.012,Xiong+2023,1.2493663659853704,0.0001448876296583,4.152
Gaia DR3 3130353314164091520,1.822,0.022,Xiong+2023,1.6441028535003184,0.12724122358475703,3.96
Gaia DR3 1558226745013224448,0.923,0.043,Xiong+2023,1.1388558628541066,0.010268777658412451,4.15
Gaia DR3 1278589709364139520,0.6099580958722387,0.005,Southworth+2015,0.5781444004452335,0.01921093823872445,4.617
Gaia DR3 954726772696225536,0.899911910870052,0.0092,Southworth+2015,0.878800125403832,0.01044562692612065,4.389
Gaia DR3 2073900004856421120,0.9799411610955941,0.0044,Southworth+2015,0.996902228986268,0.02071984172546415,4.391
Gaia DR3 2086643104093265792,0.9865066110230981,0.0015,Southworth+2015,1.3424619862121976,0.0761172377559242,4.159
Gaia DR3 2106887209100717440,0.9869610187296448,0.004,Southworth+2015,0.8975976898095123,0.0203168693094544,4.245
Gaia DR3 1387290280744129152,1.032048245801222,0.0055,Southworth+2015,0.9385648673677234,0.00976165218088335,4.162
Gaia DR3 2077667962475652864,1.035142166679344,0.0023,Southworth+2015,0.9185372228431884,0.0104179631121921,4.339
Gaia DR3 2085557916175822336,1.177877158536943,0.0055,Southworth+2015,1.1878878582774584,0.10878490607322394,2.853
Gaia DR3 2051885033280089216,1.1939881044642733,0.0029,Southworth+2015,1.0988306817673636,0.02030652244911045,4.131
Gaia DR3 2076396892680237696,1.2511229769215944,0.0052,Southworth+2015,1.1532460950008374,0.03941991862903845,4.17
Gaia DR3 2126190784996797696,1.2540071132481292,0.0048,Southworth+2015,1.114928952427201,0.0691942447581378,2.859
Gaia DR3 1594794719342718208,1.3058701657935172,0.005,Southworth+2015,1.2496559459383592,0.0001923516658802,4.17
Gaia DR3 2125728440357498368,1.4109122364580962,0.0086,Southworth+2015,1.3460946002722844,0.02539395736261115,4.118
Gaia DR3 2125723492554930048,1.5121678487917674,0.0063,Southworth+2015,1.3971834907256342,0.026009408568741652,4.158
Gaia DR3 400097712818624512,1.6900517380435738,0.0077,Southworth+2015,1.7497742261099876,0.02475430365099725,3.946
Gaia DR3 2052393901006466048,1.8801824734902648,0.0069,Southworth+2015,1.995394998965803,0.0519350217053359,3.752
Gaia DR3 2076326008537958912,1.8988908421013633,0.0018,Southworth+2015,1.8989979441557283,0.0002894285610198,3.882
Gaia DR3 2002164086682203904,2.3157944032250755,0.0011,Southworth+2015,2.690884509917682,0.049250281781124394,2.764
