source_id,loggsb2,loggsb2err,loggspec,loggspecerr,source
Gaia DR3 3413462508748707968,4.359375540831759,0.00883141334018853,4.501,0.033,Xiong+2023
Gaia DR3 401078859445256192,4.073668242218485,0.004638000006924463,4.115,0.042,Xiong+2023
Gaia DR3 342946885113758720,4.018169389930713,0.004228378500975345,4.111,0.018,Xiong+2023
Gaia DR3 57344071170762880,4.281606471924511,0.003203989104152413,4.264,0.144,Xiong+2023
Gaia DR3 938680396921810304,3.874401227791157,0.005500029670575263,4.031,0.018,Xiong+2023
Gaia DR3 2107434834610481920,4.5716819914844935,0.005528858388725584,4.638,0.057,Xiong+2023
Gaia DR3 2085564345750116608,3.8521992429548275,0.0031789187686917875,3.921,0.014,Xiong+2023
Gaia DR3 2052871260847605120,4.229902275312905,0.0007117479161085193,4.164,0.017,Xiong+2023
Gaia DR3 2077496473024613632,4.500675402165865,0.002079923545274873,4.609,0.046,Xiong+2023
Gaia DR3 2126044240713250304,4.332489548493128,0.004153506979268167,4.234,0.022,Xiong+2023
Gaia DR3 2128141417403122944,4.159840561161047,0.006667516613781137,3.933,0.046,Xiong+2023
Gaia DR3 2085555137340101504,3.991616690116129,0.001121495997235168,4.007,0.039,Xiong+2023
Gaia DR3 2085510916355842304,3.9714609534279037,0.020739576241097114,3.862,0.025,Xiong+2023
Gaia DR3 2101510803402761344,4.194886755316304,0.030202047342711487,4.258,0.131,Xiong+2023
Gaia DR3 2126356983051726720,4.225853705829299,0.00901221088163817,4.241,0.034,Xiong+2023
Gaia DR3 166437168205381376,4.284194594873061,0.004019689917899285,4.212,0.05,Xiong+2023
Gaia DR3 2670251536668384128,4.133678960038428,0.004046971343103401,3.758,0.03,Xiong+2023
Gaia DR3 2101192082470870912,4.105,0.022,4.103,0.031,Xiong+2023
Gaia DR3 3811041442290209024,4.157,0.053,4.103,0.08,Xiong+2023
Gaia DR3 3378228658638299136,3.659,0.1,3.974,0.021,Xiong+2023
Gaia DR3 604716006409635456,4.21,0.1,4.111,0.025,Xiong+2023
Gaia DR3 598940203109496064,4.13,0.2,4.406,0.041,Xiong+2023
Gaia DR3 609180023619173632,3.8,0.04,3.971,0.019,Xiong+2023
Gaia DR3 662309731144349184,3.935,0.035,3.907,0.13,Xiong+2023
Gaia DR3 2877105236181481728,4.006,0.023,3.985,0.072,Xiong+2023
Gaia DR3 2876917666369727616,4.223,0.043,4.141,0.041,Xiong+2023
Gaia DR3 2551780468740290944,4.173,0.043,4.176,0.118,Xiong+2023
Gaia DR3 2553446435014754688,3.987,0.036,3.984,0.03,Xiong+2023
Gaia DR3 2552126574384836992,4.658,0.051,4.61,0.037,Xiong+2023
Gaia DR3 454821063670628352,3.927,0.061,3.966,0.017,Xiong+2023
Gaia DR3 449792825194659328,3.859,0.123,3.859,0.046,Xiong+2023
Gaia DR3 67044581227237504,4.272,0.023,4.276,0.049,Xiong+2023
Gaia DR3 146788650598794752,4.064,0.033,4.059,0.038,Xiong+2023
Gaia DR3 3418303692807043200,3.998,0.024,3.998,0.023,Xiong+2023
Gaia DR3 3424887667216672256,4.05,0.041,4.01,0.033,Xiong+2023
Gaia DR3 3424566923356416640,4.014,0.039,4.062,0.15,Xiong+2023
Gaia DR3 3426632802628132224,3.974,0.023,3.974,0.024,Xiong+2023
Gaia DR3 3423629963354261760,4.28,0.1,4.267,0.013,Xiong+2023
Gaia DR3 3372154505431902848,3.685,0.027,3.906,0.017,Xiong+2023
Gaia DR3 3131579681946988416,4.103,0.21,4.037,0.046,Xiong+2023
Gaia DR3 3371355985114231808,3.992,0.011,3.997,0.012,Xiong+2023
Gaia DR3 3372265148088536320,4.185,0.062,4.157,0.022,Xiong+2023
Gaia DR3 3378894859605657984,4.05,0.02,3.709,0.014,Xiong+2023
Gaia DR3 3378682653860701568,4.09,0.08,4.176,0.032,Xiong+2023
Gaia DR3 662527125207158784,4.162,0.016,4.162,0.014,Xiong+2023
Gaia DR3 605136088570783104,4.04,0.02,4.119,0.013,Xiong+2023
Gaia DR3 4032659147719605248,4.519,0.12,4.519,0.074,Xiong+2023
Gaia DR3 1420810954300485760,4.366,0.07,4.245,0.06,Xiong+2023
Gaia DR3 2125971226269667584,4.244,0.046,4.179,0.025,Xiong+2023
Gaia DR3 1915194950298568320,4.239,0.03,4.149,0.032,Xiong+2023
Gaia DR3 2878836318456431872,4.078,0.018,4.089,0.018,Xiong+2023
Gaia DR3 1384585619577974144,4.401,0.095,4.437,0.06,Xiong+2023
Gaia DR3 608267596470455424,4.45,0.08,4.415,0.086,Xiong+2023
Gaia DR3 3440572857718190976,4.15,0.0,4.152,0.012,Xiong+2023
Gaia DR3 3130353314164091520,3.938,0.284,3.96,0.119,Xiong+2023
Gaia DR3 1558226745013224448,4.15,0.029,4.15,0.028,Xiong+2023
Gaia DR3 1278589709364139520,4.634,0.023,4.617,0.068,Southworth+2015
Gaia DR3 954726772696225536,4.389,0.023,4.389,0.031,Southworth+2015
Gaia DR3 2073900004856421120,4.417,0.003,4.391,0.051,Southworth+2015
Gaia DR3 2086643104093265792,4.493,0.014,4.159,0.112,Southworth+2015
Gaia DR3 2106887209100717440,4.197,0.006,4.245,0.062,Southworth+2015
Gaia DR3 1387290280744129152,4.294,0.016,4.162,0.022,Southworth+2015
Gaia DR3 2077667962475652864,4.3927,0.0024,4.339,0.03,Southworth+2015
Gaia DR3 2085557916175822336,2.699,0.011,2.853,0.031,Southworth+2015
Gaia DR3 2051885033280089216,4.063,0.002,4.131,0.041,Southworth+2015
Gaia DR3 2076396892680237696,4.116,0.007,4.17,0.068,Southworth+2015
Gaia DR3 2126190784996797696,2.7892,0.0033,2.859,0.02,Southworth+2015
Gaia DR3 1594794719342718208,4.098,0.006,4.17,0.023,Southworth+2015
Gaia DR3 2125728440357498368,4.15,0.01,4.118,0.041,Southworth+2015
Gaia DR3 2125723492554930048,4.133,0.008,4.158,0.032,Southworth+2015
Gaia DR3 400097712818624512,4.068,0.003,3.946,0.022,Southworth+2015
Gaia DR3 2052393901006466048,3.63,0.01,3.752,0.038,Southworth+2015
Gaia DR3 2076326008537958912,4.034,0.011,3.882,0.02,Southworth+2015
Gaia DR3 2002164086682203904,2.701,0.002,2.764,0.025,Southworth+2015
