source_id,teffsb2,teffsb2err,teffspec,teffspecerr,source
Gaia DR3 3413462508748707968,5662.39,28.31,5533.61,26.71,Xiong+2023
Gaia DR3 401078859445256192,6137.62,55.24,6210.83,29.7,Xiong+2023
Gaia DR3 342946885113758720,7063.18,63.57,6825.2,14.02,Xiong+2023
Gaia DR3 57344071170762880,5956.62,53.61,6145.69,87.73,Xiong+2023
Gaia DR3 938680396921810304,6194.0,100.0,6235.925,14.135,Xiong+2023
Gaia DR3 2107434834610481920,5520.77,44.17,5545.33,41.237,Xiong+2023
Gaia DR3 2085564345750116608,7112.14,49.78,6898.24,11.62,Xiong+2023
Gaia DR3 2052871260847605120,6531.31,97.97,6403.84,13.92,Xiong+2023
Gaia DR3 2077496473024613632,5199.96,41.6,5396.54,34.295,Xiong+2023
Gaia DR3 2126044240713250304,6714.29,67.14,6478.315,16.375,Xiong+2023
Gaia DR3 2128141417403122944,7700.0,250.0,7376.14,33.41,Xiong+2023
Gaia DR3 2085555137340101504,7328.25,36.64,7069.555,27.435,Xiong+2023
Gaia DR3 2085510916355842304,7026.0,100.0,7047.61,19.92,Xiong+2023
Gaia DR3 2101510803402761344,6500.0,50.0,6537.63,81.64,Xiong+2023
Gaia DR3 2126356983051726720,6144.0,100.0,6159.542,24.343,Xiong+2023
Gaia DR3 166437168205381376,6426.88,38.56,6286.615,36.275,Xiong+2023
Gaia DR3 2670251536668384128,6353.31,88.95,5502.25,20.9,Xiong+2023
Gaia DR3 2101192082470870912,6012.74,23.74,5946.68,24.267,Xiong+2023
Gaia DR3 3811041442290209024,5940.85,32.41,5914.27,52.074,Xiong+2023
Gaia DR3 3378228658638299136,9824.11,1000.0,10234.684,15.078,Xiong+2023
Gaia DR3 604716006409635456,5529.74,45.16,6850.921,18.434,Xiong+2023
Gaia DR3 598940203109496064,4697.68,43.23,4661.849,29.29,Xiong+2023
Gaia DR3 609180023619173632,5971.97,10.79,6051.165,14.495,Xiong+2023
Gaia DR3 662309731144349184,5808.92,21.47,5757.91,85.86,Xiong+2023
