wavelength_470712060,flux_470712060,wavlength_139202084,flux_139202084,wavelength_392605166,flux_392605166,wavelength_455405241,flux_455405241
3698.7285,1.0,3697.8435,1.0,3698.5706,1.0,3699.402,1.0
3699.5806,1.0,3698.6956,1.0,3699.4226,1.0,3700.2542,1.0
3700.4329,1.0,3699.5479,1.0,3700.275,1.0,3701.1064,1.0
3701.2852,1.0,3700.4001,1.0,3701.1272,1.0,3701.9587,1.0
3702.138,1.0,3701.253,1.0,3701.98,1.0,3702.8115,1.0
3702.9907,1.0,3702.1057,1.0,3702.8328,1.0,3703.6643,1.0
3703.8438,1.0,3702.9587,1.0,3703.6858,1.0,3704.5173,1.0
3704.697,1.0,3703.812,1.0,3704.539,1.0,3705.3706,1.0
3705.5503,1.0,3704.6653,1.0,3705.3923,1.0,3706.2239,1.0
3706.404,1.0,3705.519,1.0,3706.246,1.0,3707.0776,1.0
3707.2578,1.0,3706.3728,1.0,3707.0999,1.0,3707.9314,1.0
3708.1118,1.0,3707.2268,1.0,3707.9539,1.0,3708.7854,1.0
3708.966,1.0,3708.081,1.0,3708.808,1.0,3709.6396,1.0
3709.8203,1.0,3708.9353,1.0,3709.6624,1.0,3710.494,1.0
3710.675,1.0,3709.79,1.0,3710.517,1.0,3711.3486,1.0
3711.5298,1.0,3710.6448,1.0,3711.3718,1.0,3712.2034,1.0
3712.3848,1.0,3711.4998,1.0,3712.2268,1.0,3713.0583,1.0
3713.24,1.0,3712.355,1.0,3713.082,1.0,3713.9136,1.0
3714.0955,1.0,3713.2104,1.0,3713.9375,1.0,3714.769,1.0
3714.951,1.0,3714.066,1.0,3714.793,1.0,3715.6245,1.0
3715.807,1.0,3714.9219,1.0,3715.649,1.0,3716.4805,1.0
3716.6628,1.0,3715.7778,1.0,3716.505,1.0,3717.3364,1.0
3717.519,1.0,3716.634,1.0,3717.361,1.0,3718.1926,1.0
3718.3752,1.0,3717.4902,1.0,3718.2173,1.0,3719.0488,1.0
3719.232,1.0,3718.347,1.0,3719.074,1.0,3719.9055,1.0
3720.0886,1.0,3719.2036,1.0,3719.9307,1.0,3720.7622,1.0
3720.9456,1.0,3720.0605,1.0,3720.7876,1.0,3721.6191,1.0
3721.8027,1.0,3720.9177,1.0,3721.6448,1.0,3722.4763,1.0
3722.6602,1.0,3721.7751,1.0,3722.5022,1.0,3723.3337,1.0
3723.5178,1.0,3722.6328,1.0,3723.3599,1.0,3724.1914,1.0
3724.3755,1.0,3723.4905,1.0,3724.2175,1.0,3725.049,1.0
3725.2334,1.0,3724.3484,1.0,3725.0754,1.0,3725.907,1.0
