uid,CaIIHK_snr,SIndex,SIndexSigma,SIndexOri,SIndexOriSigma,source_id,ra,dec,type,period,eccentricity,K1,mass_ratio,f1,f1err,f2,f2err,inclination,teff,teff_err,logg,logg_err,feh,feh_err,logrRprimehk,logrRprimehkerr,logrRprimehkerrUniform,w3mag,w3magerr,kmag,kmagerr,Gmag,BpRp,iso_mass,iso_mass_err,iso_rad,iso_rad_err,iso_lum,iso_lum_err
G10033399518863,28.575754,0.911303,0.055555,0.346123,0.010825,Gaia DR3 3073968261944713088,132.950614,-0.851734,SB1,467.80835079102303,0.0426263959341543,8.54322313100277,,,,,,,,,,,,,,,,9.704,0.055,9.874,0.023,10.981699,0.6258955,,,,,,
G10033407998748,64.42151,0.319447,0.023941,0.230796,0.004665,Gaia DR3 3073958091462213120,132.845582,-1.047656,SB1,159.63322735034282,0.3298069467236817,12.80915194906055,,,,,,,6518.68,23.74,4.2,0.032,-0.027,0.018,-4.26984,0.04275,,10.649,0.102,10.795,0.019,11.866563,0.6199684,1.2995059755242016,0.0002132924314926,1.491974584492584,0.0304390216407298,3.632188256106571,0.0780797564644168
G10033422203883,27.693886,0.391683,0.05605,0.244872,0.010922,Gaia DR3 3074166208398017536,132.534974,-0.77242,Orbital,577.4546307318637,0.2491193291591417,,,,,,,,6306.52,24.4,4.084,0.035,-0.024,0.021,-4.19736,0.08078,,,,,,13.479048,0.6805029,1.2937337133750044,0.0483574709750971,1.6894398938451105,0.0843037957048101,4.038434545238901,0.3911711124258308
G10033430756419,22.437645,-0.058424,0.068915,0.157166,0.013429,Gaia DR3 3073951902413626624,132.585518,-0.937054,SB1,989.0467165768048,0.2826192750087681,7.481454949005843,,,,,,,,,,,,,,,,9.792,0.045,9.833,0.019,12.1278925,1.2574034,0.8130877007845578,0.0413882438234773,6.385425191928394,0.3295535830729514,17.39589200960119,1.8327240298102168
G10033491627895,64.26997,0.393489,0.024197,0.245224,0.004715,Gaia DR3 3074560348956953088,133.045781,-0.40496,SB1,6.230437010535152,0.1704204448436451,8.29818912433285,,,,,,,6543.12,18.22,4.042,0.024,-0.205,0.013,-4.1505,0.03292,,10.363,0.071,10.501,0.024,11.5345335,0.60874176,1.3459746637363488,0.0254957959184736,1.8665721605615424,0.0873123847774434,5.815939361894441,0.5162359037115878
G10033629405071,118.670456,1.357414,0.013237,0.43305,0.002579,Gaia DR3 5763844741139475968,132.775766,-2.437747,SB1,14.210854728205344,0.0372144501012431,11.897011555823626,,,,,,,7414.31,36.01,3.89,0.044,0.586,0.021,-3.48411,0.00443,0.03282,10.813,0.121,10.74,0.021,11.41011,0.41515636,,,,,,
G10033639398859,68.60803,0.283113,0.022697,0.223716,0.004423,Gaia DR3 5763778529922517760,133.080017,-2.66322,Orbital,821.8057256284068,0.2369405661369596,,,,,,,,5815.19,16.03,3.798,0.021,-0.194,0.011,-4.51644,0.05202,,8.239,0.022,8.288,0.036,9.695445,0.8056021,1.198381414555883,0.034531363491672,2.247616613206908,0.0962230604637708,5.249186044625049,0.4476779989644388
G10033647926993,18.585623,0.144212,0.083543,0.196651,0.016279,Gaia DR3 5764018910652024320,133.840945,-1.569911,Orbital,437.6105329850442,0.787017454977359,,,,,,,,5427.045,34.295,4.547,0.048,-0.185,0.032,-5.15689,,,11.653,0.216,12.037,0.024,13.784937,0.97244453,0.8379830114345052,0.0199992534503297,0.8025561702703691,0.0344021276792557,0.5033210338457518,0.0466009974965554
G10033737933901,16.260708,2.26444,0.095319,0.60979,0.018573,Gaia DR3 5763890130352552192,132.813418,-2.062879,AstroSpectroSB1,778.1131234822188,0.7763669168531283,,,,,,,,4070.56,55.37,4.657,0.075,-0.157,0.042,-4.34311,0.04557,0.04585,8.467,0.022,8.622,0.023,11.307957,1.638998,0.598718994502962,0.0152596196787129,0.6261074821496081,0.0155110304962036,0.0955342152549349,0.0089774215131578
G10033793207419,91.26234,0.275238,0.016984,0.222182,0.003309,Gaia DR3 5763980457809036672,133.163364,-1.908879,SB1,23.585929177099334,0.614267572062756,41.153051761046704,,,,,,,5944.24,18.21,4.518,0.023,0.03,0.011,-4.49764,0.04023,,9.975,0.05,10.053,0.021,11.406115,0.7921915,1.0587968815873197,0.0099818057400247,0.976196531351693,0.011214588784985,1.065016690605351,0.0343100177180681
G10033795761320,37.829437,0.332826,0.040819,0.233403,0.007954,Gaia DR3 5763995782252342784,133.179488,-1.76478,Orbital,621.1240783680671,0.0943064561902429,,,,,,,,6282.3,23.37,4.32,0.033,-0.355,0.019,-4.29433,0.07226,,11.837,0.305,11.983,0.024,13.154846,0.67497635,1.039512138109647,0.0002079062728519,1.1544749923314563,0.0425187916926391,1.8758696771609669,0.1408371584222842
G10033989999098,41.460907,0.304751,0.037218,0.227933,0.007252,Gaia DR3 3074396586148162816,133.467138,-0.282871,SB1,3.105322681146469,0.0427779502093127,43.12060156657751,,,,,,,6488.24,19.22,4.188,0.026,-0.057,0.015,-4.30259,0.07212,,10.881,0.105,11.148,0.021,12.288219,0.6364565,1.249122595843716,0.0245198306334643,1.4393142669763888,0.0843008424325084,3.245633701403948,0.3987315899059473
G10034074249365,33.032413,0.157535,0.047337,0.199247,0.009224,Gaia DR3 3073962386429435648,133.117752,-0.99966,SB1,448.10189779349577,0.3441478758690156,16.308992490322993,,,,,,,5618.76,23.81,4.077,0.033,0.15,0.019,-5.03704,,,10.607,0.097,10.795,0.019,12.328343,0.8774185,1.0387775748634474,0.0198439192227437,1.5322054558138327,0.0728292265800056,2.128243738438219,0.2043082797239179
G10034074249365,33.032413,0.157535,0.047337,0.199247,0.009224,Gaia DR3 3073962386429435648,133.117752,-0.99966,Orbital,466.0718508012461,0.5229878285597191,,,,,,,,5618.76,23.81,4.077,0.033,0.15,0.019,-5.03704,,,10.607,0.097,10.795,0.019,12.328343,0.8774185,1.0387775748634474,0.0198439192227437,1.5322054558138327,0.0728292265800056,2.128243738438219,0.2043082797239179
G10034078323892,75.011621,0.327189,0.021248,0.232305,0.00414,Gaia DR3 3074293232055172480,133.291343,-0.877847,SB1,109.06260078968054,0.0261003988761387,10.503603954367287,,,,,,,6551.095,18.02,4.168,0.023,-0.116,0.013,-4.25052,0.03649,,9.248,0.036,9.353,0.021,10.368903,0.603776,1.2992744397772409,0.0002079998317812,1.5866995594371316,0.022525889246462,4.198593973053002,0.049565654734656
G10034120961507,36.534782,0.679151,0.043471,0.300887,0.008471,Gaia DR3 3075206793073952000,129.45069,-0.036657,SB1,5.066267341437373,0.1644121007178172,52.83210711370073,,,,,,,7253.47,22.32,4.029,0.031,-0.152,0.018,-3.80917,0.03021,0.07032,11.251,0.149,11.513,0.024,12.3280325,0.46964836,1.5483517010081682,0.0238705485512988,1.956498264382152,0.0818465259925072,9.554566097648518,0.8923741882769969
G10034152266216,22.922142,0.526267,0.068454,0.271097,0.013339,Gaia DR3 3075194110034843648,129.92253,-0.080319,SB1,0.901166542185416,0.1019193309136509,33.29784373981233,,,,,,,6664.85,22.88,4.174,0.032,-0.005,0.019,-3.98179,0.06616,0.09967,10.905,0.109,10.907,0.019,11.870388,0.56398106,1.348248004357841,0.0249701327161163,1.5301556759813666,0.0786520644129977,4.137611191007365,0.4779338098864935
