starid,Teff,Prot,ref,source,source_id,ra,dec,angular_distance
KIC892834,4940.000000,13.61,santos19,kepler,Gaia DR3 2050232089348169856,291.163281,36.627583,0.000011
KIC892882,5149.000000,21.96,santos19,kepler,Gaia DR3 2050235868919445248,291.173201,36.698327,0.000045
KIC893033,4862.000000,25.94,santos19,kepler,Gaia DR3 2050232639104043904,291.207562,36.667622,0.000105
KIC1026146,4419.000000,14.69,santos19,kepler,Gaia DR3 2050249028700082048,291.070056,36.780527,0.000075
KIC1026287,4989.000000,27.8,santos19,kepler,Gaia DR3 2050236830992083328,291.104223,36.716714,0.000090
KIC1026992,4854.000000,33.54,santos19,kepler,Gaia DR3 2050238617698593408,291.262285,36.704679,0.000012
KIC1027016,4760.000000,1.24,santos19,kepler,Gaia DR3 2050239511051851136,291.266840,36.779943,0.000017
KIC1027277,4513.000000,30.0,santos19,kepler,Gaia DR3 2050238342820749824,291.321630,36.724953,0.000162
KIC1027330,4880.000000,31.27,santos19,kepler,Gaia DR3 2050238136662521856,291.333421,36.716970,0.000111
KIC1027631,4776.000000,32.15,santos19,kepler,Gaia DR3 2050192747446432768,291.392019,36.719822,0.000141
KIC1160947,4583.000000,24.54,santos19,kepler,Gaia DR3 2050253667263886720,290.938677,36.899224,0.000030
KIC1161315,4242.000000,48.06,santos19,kepler,Gaia DR3 2050256038079886464,291.040601,36.853873,0.000085
KIC1162635,3758.000000,15.42,santos19,kepler,Gaia DR3 2050240885441462400,291.334908,36.806430,0.000055
KIC1163090,4877.000000,15.64,santos19,kepler,Gaia DR3 2051741547012578560,291.436689,36.819958,0.000041
KIC1163303,5044.000000,9.9,santos19,kepler,Gaia DR3 2051741650091842688,291.481922,36.834212,0.000018
KIC1163994,4633.000000,28.18,santos19,kepler,Gaia DR3 2051695333163049344,291.629926,36.823030,0.000062
KIC1164071,4701.000000,13.43,santos19,kepler,Gaia DR3 2051692378225545856,291.644660,36.801554,0.000014
KIC1164102,4203.000000,29.59,santos19,kepler,Gaia DR3 2051695470602017280,291.650935,36.836873,0.000038
KIC1164583,4584.000000,46.75,santos19,kepler,Gaia DR3 2051698700417500672,291.756819,36.874407,0.000170
KIC1292688,3776.000000,43.02,santos19,kepler,Gaia DR3 2050254491897606784,290.920352,36.917266,0.000137
KIC1293861,5118.000000,32.6,santos19,kepler,Gaia DR3 2050257790432779392,291.226270,36.974790,0.000031
KIC1293907,5076.000000,26.3,santos19,kepler,Gaia DR3 2050245970677463168,291.238361,36.945565,0.000098
KIC1293993,4996.000000,20.78,santos19,kepler,Gaia DR3 2050245901963299328,291.256132,36.936508,0.000052
KIC1294535,4753.000000,36.18,santos19,kepler,Gaia DR3 2051746700973396352,291.372917,36.969788,0.000103
KIC1295195,4903.000000,21.96,santos19,kepler,Gaia DR3 2051744914267116544,291.514151,36.968472,0.000062
KIC1295289,5060.000000,9.63,santos19,kepler,Gaia DR3 2051745326584018432,291.536044,36.996266,0.000035
KIC1296779,3703.000000,32.38,santos19,kepler,Gaia DR3 2051701208678501504,291.840642,36.997710,0.000262
KIC1296787,4828.000000,9.83,santos19,kepler,Gaia DR3 2051700796361622912,291.842828,36.955525,0.000054
KIC1297058,5024.000000,27.23,santos19,kepler,Gaia DR3 2051699937368191744,291.903427,36.947407,0.000033
KIC1297166,4728.000000,18.99,santos19,kepler,Gaia DR3 2051700349685078656,291.926644,36.969694,0.000041
KIC1297303,4451.000000,27.42,santos19,kepler,Gaia DR3 2051723954825689856,291.958452,36.999625,0.000027
