starid,Prot,Teff,source_id,ref
wright6,8.35,3654,Gaia DR3 418582156851693824,wright11
wright7,0.55,3619,Gaia DR3 387802905077402624,wright11
wright11,0.7,4194,Gaia DR3 365404826723375232,wright11
wright16,0.87,3422,Gaia DR3 375957320852042368,wright11
wright25,11.1,5537,Gaia DR3 291701396922348672,wright11
wright60,0.86,3691,Gaia DR3 138477064248004096,wright11
wright66,6.2,4876,Gaia DR3 435405303228775680,wright11
wright70,0.6,5282,Gaia DR3 441640221355365760,wright11
wright73,0.25,3913,Gaia DR3 441650563636259968,wright11
wright80,3.71,5167,Gaia DR3 441358776436543488,wright11
wright86,5.5,5310,Gaia DR3 441355825800832512,wright11
wright90,1.3,4605,Gaia DR3 249182461943340032,wright11
wright94,6.4,4862,Gaia DR3 249236647249997696,wright11
wright111,0.47,3931,Gaia DR3 220896387146523904,wright11
wright114,0.38,4254,Gaia DR3 68587161680620288,wright11
wright116,2.99,4001,Gaia DR3 68363411064150272,wright11
wright117,8.41,4581,Gaia DR3 68390417818463872,wright11
wright118,6.65,4927,Gaia DR3 68317609532996480,wright11
wright119,0.28,3935,Gaia DR3 68325649711754880,wright11
wright120,2.03,3735,Gaia DR3 68317746971945600,wright11
wright121,0.26,3775,Gaia DR3 68314414077327744,wright11
wright122,6.75,4652,Gaia DR3 69876506565909632,wright11
wright123,0.67,5256,Gaia DR3 69904101732529408,wright11
wright125,1.36,4048,Gaia DR3 68294554148575232,wright11
wright126,0.97,3883,Gaia DR3 68301250000967680,wright11
wright127,0.47,5142,Gaia DR3 69876712724339456,wright11
wright128,5.71,5488,Gaia DR3 69883417170175488,wright11
wright129,5.39,5161,Gaia DR3 65289279632597760,wright11
wright130,3.02,4018,Gaia DR3 68323485048225152,wright11
wright131,4.53,4041,Gaia DR3 68295481861500928,wright11
wright132,3.96,3734,Gaia DR3 69829541100441600,wright11
wright133,4.12,3814,Gaia DR3 69878503727603072,wright11
wright134,1.48,5526,Gaia DR3 68296890611072384,wright11
wright135,4.23,5533,Gaia DR3 69829609819915648,wright11
wright136,4.76,5136,Gaia DR3 65289623229979136,wright11
wright137,2.61,5206,Gaia DR3 65072435323295872,wright11
wright138,3.93,5476,Gaia DR3 68322145018429952,wright11
wright139,3.18,5853,Gaia DR3 65249250535404928,wright11
wright140,1.48,5603,Gaia DR3 69811639676769536,wright11
wright141,4.52,5504,Gaia DR3 68310359628169088,wright11
wright142,0.41,4450,Gaia DR3 68310359628169472,wright11
wright143,0.36,4264,Gaia DR3 65248151025861120,wright11
wright144,3.27,3874,Gaia DR3 69811364798863744,wright11
wright145,1.08,3685,Gaia DR3 68308882159427840,wright11
wright146,0.84,5177,Gaia DR3 68303487680516224,wright11
wright147,0.4,4299,Gaia DR3 69823940463098752,wright11
wright148,3.79,4406,Gaia DR3 65273027476967680,wright11
wright149,1.92,6071,Gaia DR3 69811948914407168,wright11
wright150,5.52,5119,Gaia DR3 65275089060719104,wright11
wright152,5.55,4276,Gaia DR3 69814388455816960,wright11
wright153,2.43,5468,Gaia DR3 65196370900147968,wright11
wright154,2.85,5712,Gaia DR3 65295430026352512,wright11
wright155,5.84,4153,Gaia DR3 65161976802151680,wright11
wright156,3.79,5625,Gaia DR3 69840879814047872,wright11
wright157,4.33,4135,Gaia DR3 66802276352348416,wright11
wright158,0.86,3741,Gaia DR3 66802207632871808,wright11
wright159,0.69,3795,Gaia DR3 69863454162150656,wright11
wright160,0.43,4798,Gaia DR3 65190048708380160,wright11
wright161,7.5,4725,Gaia DR3 65164171528305792,wright11
wright162,1.25,3878,Gaia DR3 69810093488518784,wright11
wright163,2.19,3833,Gaia DR3 65281239453865856,wright11
wright164,0.4,4298,Gaia DR3 65281166437426176,wright11
wright165,0.29,5892,Gaia DR3 65222759179728640,wright11
wright166,0.33,3739,Gaia DR3 66804406656115328,wright11
wright167,0.83,5054,Gaia DR3 65178568258674176,wright11
wright168,0.53,6153,Gaia DR3 66802654309459712,wright11
wright169,5.23,5162,Gaia DR3 65284469269256704,wright11
wright170,0.92,6327,Gaia DR3 69816346960886784,wright11
wright171,3.84,4052,Gaia DR3 65222518661019520,wright11
wright172,3.16,5648,Gaia DR3 65276703968959488,wright11
wright173,0.9,4030,Gaia DR3 65214409762926720,wright11
wright174,7.15,4292,Gaia DR3 65214856439472640,wright11
wright175,0.83,3732,Gaia DR3 69859262274067584,wright11
wright176,3.93,4877,Gaia DR3 65201039527567232,wright11
wright177,0.58,4615,Gaia DR3 64981137202021376,wright11
wright178,7.07,4501,Gaia DR3 66799763794633856,wright11
wright180,5.17,3945,Gaia DR3 66781316909399424,wright11
wright181,6.83,4967,Gaia DR3 66814302260735104,wright11
wright182,2.0,3982,Gaia DR3 66801623514684416,wright11
wright183,2.85,5877,Gaia DR3 64971177174850304,wright11
wright184,5.91,5068,Gaia DR3 66800592725851776,wright11
wright185,1.39,4066,Gaia DR3 65224442806459008,wright11
wright186,4.08,5772,Gaia DR3 64981931772948480,wright11
wright187,6.58,4118,Gaia DR3 66811450402457216,wright11
wright188,3.09,5718,Gaia DR3 66788291938818304,wright11
wright189,0.32,3827,Gaia DR3 65229734206151680,wright11
wright191,5.22,4566,Gaia DR3 64985127228608128,wright11
wright192,1.32,5319,Gaia DR3 66781832308018176,wright11
wright193,2.42,4147,Gaia DR3 65226401312036864,wright11
wright194,6.8,3972,Gaia DR3 64964717544035200,wright11
wright195,0.74,3979,Gaia DR3 64977705525131904,wright11
wright198,0.87,5002,Gaia DR3 66808869124393600,wright11
wright199,2.32,5804,Gaia DR3 66838452861270272,wright11
wright200,7.96,4322,Gaia DR3 66787119410915072,wright11
wright201,6.42,4750,Gaia DR3 65223618172733952,wright11
wright202,0.52,4932,Gaia DR3 64980278208557696,wright11
wright203,1.21,3850,Gaia DR3 64960663095015680,wright11
wright204,5.97,5124,Gaia DR3 64979732749686016,wright11
wright205,0.3,3994,Gaia DR3 66727234683931520,wright11
wright206,2.45,3967,Gaia DR3 65005262035285888,wright11
wright207,7.63,4751,Gaia DR3 65010239900405504,wright11
wright208,0.39,4244,Gaia DR3 64959662365552384,wright11
wright209,2.65,4417,Gaia DR3 65010175477867776,wright11
wright210,1.21,3965,Gaia DR3 65011412428446592,wright11
wright211,8.18,4651,Gaia DR3 65010549138050944,wright11
wright212,4.56,4580,Gaia DR3 66734720809017856,wright11
wright215,2.78,3773,Gaia DR3 66737405166459264,wright11
wright216,0.6,3866,Gaia DR3 65007220540365184,wright11
wright217,8.41,4463,Gaia DR3 66816295125702144,wright11
wright218,8.37,4268,Gaia DR3 64990586130069504,wright11
wright219,0.31,4180,Gaia DR3 66730120901930240,wright11
wright220,3.25,5687,Gaia DR3 66737095928811648,wright11
wright221,0.78,4105,Gaia DR3 65013474012743936,wright11
wright222,0.48,4260,Gaia DR3 65208396808627840,wright11
wright223,1.41,3738,Gaia DR3 66742765285619584,wright11
wright224,0.74,4312,Gaia DR3 66816187748666624,wright11
wright225,1.15,4056,Gaia DR3 64989490915460608,wright11
wright226,3.85,5717,Gaia DR3 66517468482370304,wright11
wright227,5.6,4031,Gaia DR3 66739982146803456,wright11
wright228,2.47,4040,Gaia DR3 66521213693847808,wright11
wright229,0.23,4636,Gaia DR3 64934893291213952,wright11
wright230,2.89,5751,Gaia DR3 64941211186036352,wright11
wright233,0.55,4600,Gaia DR3 66519530066802944,wright11
wright234,0.78,5500,Gaia DR3 66503449709270400,wright11
wright235,1.42,4069,Gaia DR3 64949427460614016,wright11
wright236,4.67,5696,Gaia DR3 66771146429454592,wright11
wright237,0.4,4073,Gaia DR3 66753038847347456,wright11
wright238,0.56,4639,Gaia DR3 66774513683782912,wright11
wright239,5.82,5126,Gaia DR3 66502281478384000,wright11
wright240,0.54,3788,Gaia DR3 66752042414936704,wright11
wright242,1.59,3665,Gaia DR3 66749121837171840,wright11
wright243,4.88,5411,Gaia DR3 66501181966524800,wright11
wright246,1.34,3734,Gaia DR3 66452734735432192,wright11
wright247,6.44,4093,Gaia DR3 66539252556578816,wright11
wright248,5.97,4323,Gaia DR3 66754241438299520,wright11
wright251,2.17,5780,Gaia DR3 66462939577861248,wright11
wright253,6.28,5035,Gaia DR3 66537981246228096,wright11
wright254,0.26,4153,Gaia DR3 66852647730267264,wright11
wright255,1.87,3751,Gaia DR3 66542551091588352,wright11
wright256,5.47,4279,Gaia DR3 66489259137570816,wright11
wright260,0.42,4589,Gaia DR3 66640712564777856,wright11
wright262,0.43,5074,Gaia DR3 66665696393227904,wright11
wright265,0.86,3609,Gaia DR3 66245408072670336,wright11
wright272,0.29,4504,Gaia DR3 46622664569875840,wright11
wright275,3.02,3709,Gaia DR3 51832421242688128,wright11
wright278,2.65,4830,Gaia DR3 164088748804295168,wright11
wright279,5.56,3455,Gaia DR3 150137251917639680,wright11
wright284,1.85,2986,Gaia DR3 225906041297461120,wright11
wright287,1.82,4950,Gaia DR3 49340897830486912,wright11
wright301,1.6,4776,Gaia DR3 3312019813623548160,wright11
wright327,13.26,3216,Gaia DR3 178010009119238144,wright11
wright328,2.71,5099,Gaia DR3 145034968209407232,wright11
wright330,1.56,5159,Gaia DR3 3410633602770942464,wright11
wright347,1.15,4318,Gaia DR3 3411058426574943104,wright11
wright357,1.49,3765,Gaia DR3 161698547964722560,wright11
wright401,3.09,4310,Gaia DR3 3161169150460301952,wright11
wright412,1.02,3324,Gaia DR3 878998184211702912,wright11
wright413,1.36,3789,Gaia DR3 671764427338019456,wright11
wright512,1.67,3549,Gaia DR3 661296290661998208,wright11
wright517,4.8,5013,Gaia DR3 661190153430426880,wright11
wright533,3.97,3708,Gaia DR3 661353224747228544,wright11
wright607,0.19,3970,Gaia DR3 832850719119705088,wright11
wright646,0.6,4350,Gaia DR3 1476473593018714624,wright11
wright671,0.52,4209,Gaia DR3 1395026650715320832,wright11
wright675,0.13,3791,Gaia DR3 1375051479376039040,wright11
wright691,1.63,3361,Gaia DR3 1411181942564897024,wright11
wright694,0.98,3367,Gaia DR3 1411326670078650624,wright11
wright718,5.34,3305,Gaia DR3 4595155617018571008,wright11
wright815,6.85,4019,Gaia DR3 1941126622803033984,wright11
Cl* Melotte 22 DH 015,2.41116762,3665,Gaia DR3 69583456653826048,fang18
Cl* Melotte 22 PELS 189,7.41064978,5024,Gaia DR3 68398732874994944,fang18
Cl* Melotte 22 HCG 6,0.20799738,3366,Gaia DR3 68506347575444096,fang18
Cl* Melotte 22 DH 075,0.32462168,3724,Gaia DR3 71021927100882560,fang18
Cl* Melotte 22 PELS 015,2.29533386,6236,Gaia DR3 64671903852618624,fang18
Cl* Melotte 22 HCG 16,0.72479409,3221,Gaia DR3 68544177646567552,fang18
Cl* Melotte 22 HCG 26,0.2785531,3330,Gaia DR3 65117206062341760,fang18
Cl* Melotte 22 PELS 138,6.53096819,5507,Gaia DR3 70941383577307392,fang18
Cl* Melotte 22 SK785,7.82590151,3460,Gaia DR3 68595751615127296,fang18
Cl* Melotte 22 HCG 33,0.9258588,3157,Gaia DR3 68607090328759040,fang18
Cl* Melotte 22 HCG 34,4.41754055,3423,Gaia DR3 68348155340347776,fang18
Cl* Melotte 22 SK773,2.34574819,3703,Gaia DR3 65125452399528320,fang18
Cl* Melotte 22 PELS 012,4.4609561,5732,Gaia DR3 68129764842889600,fang18
Cl* Melotte 22 AK III-700,4.12638426,5806,Gaia DR3 70190249631846272,fang18
Cl* Melotte 22 HCG 44,1.32623017,3372,Gaia DR3 64445988572906752,fang18
Cl* Melotte 22 DH 176,5.45227957,5611,Gaia DR3 65150947325369600,fang18
Cl* Melotte 22 HCG 57,12.10406113,3982,Gaia DR3 65026839950559744,fang18
Cl* Melotte 22 HCG 58,0.38263628,3755,Gaia DR3 68587161680620288,fang18
Cl* Melotte 22 SK698,0.36333984,3415,Gaia DR3 70114039734416128,fang18
Cl* Melotte 22 HCG 71,2.98619914,3981,Gaia DR3 68363411064150272,fang18
Cl* Melotte 22 PELS 030,7.06462717,5046,Gaia DR3 65030344643851776,fang18
Cl* Melotte 22 HCG 101,0.3103075,3618,Gaia DR3 64841503521468544,fang18
Cl* Melotte 22 HCG 97,0.28005695,3352,Gaia DR3 68325649711754880,fang18
Cl* Melotte 22 HCG 103,0.25622484,3467,Gaia DR3 68314414077327744,fang18
Cl* Melotte 22 DH 257,1.18512344,4991,Gaia DR3 69896473870624640,fang18
Cl Melotte 22 97,6.74947643,4700,Gaia DR3 69876506565909632,fang18
Cl Melotte 22 146,3.05144382,3992,Gaia DR3 65084358152509440,fang18
Cl* Melotte 22 HCG 123,0.96935886,3526,Gaia DR3 68301250000967680,fang18
Cl Melotte 22 174,0.47429705,5149,Gaia DR3 69876712724339456,fang18
Cl Melotte 22 173,5.70946264,5433,Gaia DR3 69883417170175488,fang18
Cl* Melotte 22 HCG 129,3.96421218,3468,Gaia DR3 69829541100441600,fang18
