uid,SHK,SIndex,SIndexSigma,teff,subclass,source
L9355957271418,0.859,0.3833078160236008,0.0083202834279071,3917.86,K7,BoroSaikia2018
L16047574709881,1.375642857145,0.4340950972799499,0.0035277621723814,3968.34,K7,Isaacson2010
L17269574668412,0.8122857142855,0.415148580546582,0.0103013248012259,4077.41,K7,Isaacson2010
L15303402219190,0.8892857142855,0.33329740563420496,0.00491020897775215,4215.875,K5,Isaacson2010
L15462979918983,0.97375,0.3938239124270594,0.0052760351718285,4269.59,K5,Isaacson2010
L15127224060381,1.13,0.3829298351092204,0.0144565630578703,4312.69,K5,Isaacson2010
G17405045024257,1.3001,0.3523207673308289,0.0120740417846721,4360.16,K5,BoroSaikia2018
L17571914750435,0.7271875,0.2882046098465678,0.0084088848844149,4388.87,K5,Isaacson2010
G9456925475688,0.9005,0.3259087398328447,0.0035522838770326,4432.61,K5,Isaacson2010
L13275512132273,0.9677,0.3270740461702801,0.00763794299563,4442.61,K5,Isaacson2010
G14078733731176,0.568,0.27935619132328,0.0113221732787018,4466.327,K5,Isaacson2024
L17405209928232,1.7878000000000027,0.522822616287594,0.005054743033068827,4515.416,K3,GomesDaSilva2021
L16378657108797,1.0428333333350002,0.333881731978172,0.0022369394194797,4524.557,K5,Isaacson2010
L16679457484585,0.303,0.2248505129496857,0.0028824235995476,4561.915,K3,Isaacson2010
G14033395134517,0.459,0.275738491412415,0.0131717929031203,4751.98,K3,Isaacson2024
G14071826050393,0.35,0.2102437770754545,0.013469766888418,4755.05,K3,Isaacson2024
G14059122457342,0.6,0.2605074298215052,0.0120104183210957,4799.1,K3,Isaacson2024
L14079714622553,0.147,0.1594634754563398,0.0086883308963766,4903.54,K1,Isaacson2024
G14080204174730,0.731,0.2843034472135305,0.0098073330164441,4905.84,K3,Isaacson2024
G14080647837628,0.135,0.1580493192993658,0.0059898966441526,4928.68,G5,Isaacson2024
G14081257355230,0.152,0.17612326990228672,0.012228086027555667,4937.368,G5,Isaacson2024
G14032116642485,0.12199999999999998,0.1616140342514795,0.0150769579268972,4948.76,G5,Isaacson2024
G14078322513066,0.132,0.15055095102343738,0.00808495114883955,4955.955,K1,Isaacson2024
G14073995888779,0.241,0.1528677457751172,0.0116777156956234,4960.6,G5,Isaacson2024
G14074832042480,0.138,0.1744236268163262,0.0093299925327144,5032.58,K1,Isaacson2024
G14078875177970,0.124,0.1521915157067752,0.0045217279757198,5037.92,K1,Isaacson2024
G14032023858463,0.13499999999999981,0.16098346437295574,0.00764651620360174,5045.053,G8,Isaacson2024
G16705891324290,0.556,0.2811742326072116,0.0019439777352663998,5047.065,K0,Isaacson2010
L11671705847016,0.5487,0.2723681329493939,0.0094733948094873,5062.05,K3,GomesDaSilva2021
G14080046994857,0.152,0.12355625253821619,0.013466243812783501,5090.62,K1,Isaacson2024
L16197084796197,0.175,0.189426021467487,0.0155227446540313,5166.99,G9,BoroSaikia2018
L14073705209230,0.5429999999999999,0.2712376477857839,0.0059068992421277,5167.82,K0,Isaacson2024
L14520599846175,0.3105,0.2246915449373696,0.0052994859675513,5187.1,G7,BoroSaikia2018
G14085038474278,0.129,0.17949942466824184,0.0139634588776247,5188.38,G7,Isaacson2024
G14033523912145,0.464,0.2465268811865147,0.0050865314361763,5193.26,G8,Isaacson2024
L16700846499098,0.503,0.2597084959973964,0.0029335090868067,5209.61,K1,Isaacson2010
G14080429232232,0.148,0.19290346455066823,0.00875743123627145,5228.71,G7,Isaacson2024
G17491773881363,1.1957499999999999,0.3987080297218214,0.0031752802320946,5233.12,G8,Isaacson2010
G14064924452645,0.326,0.2258692895388852,0.0068096905895739,5236.95,K1,Isaacson2024
P10450024521546,0.1565,0.2004845524175526,0.0119551803834473,5292.72,K1,Isaacson2010
L14074365393708,0.404,0.2395671356062852,0.0156340083366257,5315.36,G9,Isaacson2024
L16703924958267,0.4859999999999998,0.2501041241442624,0.0019257346935187501,5315.793,G7,Isaacson2010
G14081957260736,0.116,0.1574000455656327,0.0017523192951944,5318.59,G2,Isaacson2024
G14086462673883,0.252,0.2092888192186205,0.0164079165718585,5326.97,K1,Isaacson2024
L16705875092628,0.417,0.2439868340142778,0.0008889851384309,5377.33,G7,Isaacson2010
G14082791490603,0.192,0.19910320207404136,0.00650168270567315,5379.89,G7,Isaacson2024
