uid,SHK,SIndex,SIndexSigma,teff,subclass,source
G14030945669072,0.341,0.194878072272097,0.009950506159661,4795.535,K3,Isaacson2024
G14081231723435,0.123,0.1627325653402717,0.0121749208486443,5001.48,K1,Isaacson2024
G14030984828795,0.147,0.1551459160491892,0.010871520471104798,5007.347,G9,Isaacson2024
G14085834009533,0.113,0.1699788601800847,0.0130402415169925,5011.38,K0,Isaacson2024
L14081595475683,0.21600000000000008,0.21837804189667617,0.010960695259686733,5019.4980000000005,G9,Isaacson2024
G14080584880261,0.5660000000000001,0.2430714021292547,0.0149125828929463,5074.74,K1,Isaacson2024
L14066050912268,0.311,0.2301500095403325,0.0083802733614165,5088.17,G8,Isaacson2024
G14073773838038,0.487,0.2626058447184746,0.01055997584445,5112.18,K1,Isaacson2024
G14078443601848,0.172,0.1959354953958345,0.011469171808529549,5149.05,K1,Isaacson2024
G14075613333749,0.283,0.2250788966418115,0.0093579567796319,5201.35,G8,Isaacson2024
G14031817712656,0.474,0.3481498967922379,0.0108896730820409,5236.19,K0,Isaacson2024
G14030856722501,0.435,0.2158919061250571,0.0157601962693288,5259.32,K0,Isaacson2024
G14076706378606,0.161,0.1778712243802198,0.0199592215771847,5275.4,G8,Isaacson2024
G14076990484317,0.534,0.25989743378794283,0.01484780154334235,5285.79,G9,Isaacson2024
G14028780998462,0.399,0.2612436291461061,0.0162169138379599,5289.923,G8,Isaacson2024
G14085924522792,0.101,0.1920419253778168,0.0148914271180848,5293.685,G7,Isaacson2024
G14027983154947,0.254,0.2065836820532969,0.0124604397899105,5309.25,K1,Isaacson2024
G14076327958036,0.3289999999999999,0.22585820150888714,0.0121381535450101,5322.404,G8,Isaacson2024
G14076360388819,0.217,0.1802222080699727,0.0099924269578842,5357.85,G7,Isaacson2024
G14066177545139,0.147,0.1964308756958748,0.0135038251262336,5359.02,G7,Isaacson2024
L14075321679125,0.166,0.2184064109611657,0.01545875990623,5369.946,G8,Isaacson2024
G14084815737228,0.17999999999999997,0.2077528850984037,0.00898780227436795,5374.65,G8,Isaacson2024
G14082333942792,0.298,0.2223241804819858,0.0136498039413039,5375.377,G8,Isaacson2024
L14079675013079,0.161,0.2258879844651297,0.0171754680458424,5396.33,K1,Isaacson2024
G14057716916708,0.188,0.2069822244579494,0.0154448779275064,5399.34,G8,Isaacson2024
L14083859158695,0.1639999999999999,0.1920066031292839,0.014551476716210399,5424.74,F9,Isaacson2024
G14061440521713,0.234,0.2300237382064024,0.0156603623804628,5441.33,G9,Isaacson2024
G14076867118991,0.117,0.1769629278790063,0.0103138926866878,5445.41,G3,Isaacson2024
G14078514842250,0.189,0.1992599359950589,0.0118338992030693,5486.07,G5,Isaacson2024
G14024488894886,0.463,0.2446383640263633,0.0137433358694813,5487.155,G8,Isaacson2024
G14086034230966,0.149,0.17563122505052936,0.0161496815464345,5491.885,F9,Isaacson2024
G14076396687392,0.192,0.2078897025282786,0.01214150172979535,5496.675,G7,Isaacson2024
G14029695632388,0.297,0.1934593304249372,0.012824686869982302,5506.649999999999,G5,Isaacson2024
G14029705284224,0.132,0.1714956374582918,0.0134528327702503,5507.905,G3,Isaacson2024
G14033514889989,0.131,0.19059612517924834,0.010754027884411125,5511.765,G7,Isaacson2024
L14081178511881,0.172,0.1929375193560641,0.008607712774119,5517.77,G5,Isaacson2024
L14081779091387,0.123,0.1884458189987201,0.0144558051562665,5519.05,F9,Isaacson2024
G14066193358472,0.177,0.1875221017689535,0.0169962642476017,5528.52,G7,Isaacson2024
G14057748185814,0.18,0.2080295195247012,0.0085226968252233,5528.64,G4,Isaacson2024
G14087144887318,0.124,0.1774602907222305,0.0157647565423641,5529.03,F9,Isaacson2024
G14026522862066,0.12,0.1811637232277814,0.0094095151836181,5537.01,G7,Isaacson2024
G14030958816455,0.174,0.2222473252205919,0.008354705534272,5539.59,G7,Isaacson2024
G14030956123044,0.2,0.183126802034043,0.016191863072912,5540.79,G3,Isaacson2024
L14083941646985,0.19200000000000003,0.2159338780208192,0.0192345088619952,5544.28,F9,Isaacson2024
G14061546041883,0.159,0.1951886389801572,0.009181565395828,5552.525,G4,Isaacson2024
L14071831466296,0.153,0.1948690016554789,0.0128226171345356,5553.67,G3,Isaacson2024
G14031570370233,0.133,0.1783642575875023,0.0121463612017726,5554.77,F9,Isaacson2024
G14066255910160,0.402,0.2450115696830569,0.0103166505034688,5554.78,G5,Isaacson2024
G14059224610097,0.121,0.20759198691093844,0.010556408092430001,5556.255,F9,Isaacson2024
G14078538324394,0.134,0.17973739605346892,0.0090853896932382,5562.077,F9,Isaacson2024
G14077695120071,0.117,0.2063269529057123,0.0200406292669408,5562.56,G4,Isaacson2024
L14087173658272,0.216,0.2081290956999061,0.009080671434071,5571.53,G5,Isaacson2024
G14083546890144,0.173,0.1729119367833805,0.0157759464806473,5571.54,G6,Isaacson2024
G14087452587680,0.13,0.1888536071576902,0.0133733733361343,5581.96,F9,Isaacson2024
G14064094722718,0.14,0.1964450540809951,0.007048981342519699,5582.46,G4,Isaacson2024
G14029280432177,0.135,0.1833091225469142,0.01452926390166625,5582.684,G6,Isaacson2024
G14086104523497,0.134,0.1814073024334255,0.011140307354413,5585.58,G3,Isaacson2024
G14026492957940,0.131,0.1786444119089079,0.0177152526484887,5589.456999999999,G6,Isaacson2024
G14078143607299,0.271,0.235190937373328,0.0117723748269588,5592.765,G7,Isaacson2024
G14064913844749,0.232,0.2043591955442941,0.0146174405102222,5597.19,G3,Isaacson2024
G14076816011890,0.1689999999999999,0.19222690582691795,0.010545183044589799,5607.94,F9,Isaacson2024
G14079479650827,0.128,0.1801036143338958,0.0085653191424407,5628.87,G3,Isaacson2024
G14029136013776,0.195,0.1965360661080696,0.0122295626673346,5634.08,F9,Isaacson2024
G14076086577130,0.145,0.202834399536735,0.013459715938186852,5651.1,G3,Isaacson2024
G14032648746267,0.13799999999999996,0.16860829115133136,0.01313333092667675,5654.747,G3,Isaacson2024
G14078125681123,0.123,0.2187531548324775,0.0138541037582782,5660.91,G3,Isaacson2024
G14076136972370,0.32500000000000007,0.2378929583711119,0.0086646408843033,5661.887,F9,Isaacson2024
G14058578760309,0.319,0.237945021129736,0.012081749754541201,5663.25,G5,Isaacson2024
G14064132377603,0.132,0.2103758273806118,0.0061562743484583,5665.71,F9,Isaacson2024
G14032197300683,0.14999999999999997,0.19708450487491058,0.010178326097939101,5669.917,F9,Isaacson2024
G14083452954424,0.165,0.1868564180355713,0.0133443720669199,5671.305,F9,Isaacson2024
G14082229521317,0.357,0.23677229372979924,0.010232398841761766,5671.753,G5,Isaacson2024
L14078312204413,0.15,0.1865108278396654,0.012474867637655051,5672.8,F9,Isaacson2024
G14030422551626,0.158,0.2025186991451271,0.0152832817168175,5679.39,G3,Isaacson2024
G14030868566838,0.133,0.1725959186605441,0.014364837275459402,5686.487,G3,Isaacson2024
G14075323487812,0.13799999999999998,0.20124287995090792,0.0138466289554033,5688.377,G3,Isaacson2024
G14031776769757,0.1360000000000001,0.17466534250825405,0.010584601689904717,5705.56,G2,Isaacson2024
G14058758130916,0.146,0.17824045030459695,0.0102555538421791,5707.685,F9,Isaacson2024
L14083122228369,0.127,0.1842450701393912,0.010970681631976903,5713.887,G2,Isaacson2024
L14082150540623,0.19500000000000003,0.19296308971115686,0.01137669505850155,5714.13,G3,Isaacson2024
G14077644899496,0.252,0.2280854389200753,0.0178286582386079,5716.75,G4,Isaacson2024
G14087442426958,0.297,0.2093347441145448,0.0156349052590274,5719.27,G5,Isaacson2024
G14084129257398,0.132,0.1751914118565131,0.011288319801928149,5727.367000000001,G3,Isaacson2024
G14086935605471,0.129,0.2267780543923933,0.0108123909532467,5727.405,G2,Isaacson2024
G14027513732583,0.144,0.1868659388118636,0.0058897585883465,5729.32,F9,Isaacson2024
G14076209922863,0.143,0.1737427958810673,0.0162065543516351,5730.19,G3,Isaacson2024
G14078076686440,0.289,0.2359123026358799,0.0077734817351497,5730.68,G3,Isaacson2024
G14024172806310,0.15399999999999997,0.1896925128422653,0.011675015730707434,5731.585,G3,Isaacson2024
L14073678298472,0.178,0.2066115542221606,0.0213381203535829,5734.45,G3,Isaacson2024
G14080225705551,0.136,0.2064575640438021,0.0101623662669716,5741.65,G3,Isaacson2024
L14086290503027,0.144,0.2012137382583072,0.0215227805899249,5745.21,G3,Isaacson2024
G14085916074804,0.126,0.1938454160722456,0.014994082304061,5757.46,G3,Isaacson2024
L14083327361185,0.145,0.18992138738368414,0.009070586931401399,5759.513,G4,Isaacson2024
G14027726364459,0.128,0.2115594096789604,0.0093363177485084,5770.100000000001,G3,Isaacson2024
L14085288391163,0.132,0.2208741241341193,0.015143743327530301,5777.579999999999,G3,Isaacson2024
G14080777158622,0.275,0.2178120547314784,0.0141949641253103,5782.485,G4,Isaacson2024
G14076137347007,0.125,0.1927719063264987,0.0080508030932806,5784.7,F9,Isaacson2024
G14028108016291,0.1689999999999999,0.19189265012527928,0.011205204154640474,5785.407,G3,Isaacson2024
G14035395541942,0.13,0.1938083222655816,0.0153815181320522,5786.2,G0,Isaacson2024
G14075329290923,0.132,0.17849877289080204,0.01048778916385145,5788.18,G2,Isaacson2024
G14061349698457,0.15,0.1910145202453153,0.0179472060553571,5792.6,F9,Isaacson2024
L14085634753042,0.152,0.24432935141694317,0.01688518776594645,5792.655,G3,Isaacson2024
G14061304134709,0.127,0.2012387938472188,0.0103865260115515,5793.02,G4,Isaacson2024
G14078507450164,0.285,0.2208029380915467,0.0088514943563997,5806.66,G3,Isaacson2024
G14078422220952,0.12,0.192987187927859,0.0101003318254416,5810.59,G3,Isaacson2024
G14031704636668,0.138,0.2007344074491962,0.0094944510475273,5816.926,G2,Isaacson2024
G14024645029368,0.133,0.1858411932495165,0.0099014393770493,5819.33,G2,Isaacson2024
L14075819462153,0.151,0.2048754493079363,0.0160889017156003,5820.407,G2,Isaacson2024
G14023498759403,0.142,0.190977899699986,0.0111204670546022,5821.1,G3,Isaacson2024
G14087185359290,0.146,0.2518344936909489,0.0102309895658226,5823.215,G3,Isaacson2024
G14071440126024,0.124,0.2014996576996655,0.007718778790784999,5824.19,G3,Isaacson2024
G14080829328075,0.14,0.2031831913006851,0.0158014077064229,5825.85,G3,Isaacson2024
G14074731213529,0.149,0.21587203870196975,0.0073406863331651005,5826.565,G3,Isaacson2024
G14075256879855,0.159,0.198622637108313,0.0067003279186605,5827.65,G3,Isaacson2024
G14026483130018,0.166,0.1895761141945734,0.0105485817909159,5847.11,G3,Isaacson2024
G14029989782767,0.12,0.1894942410121631,0.0156414685198969,5847.57,G3,Isaacson2024
L14080169240737,0.14,0.1776215529367787,0.0074041628245299,5858.295,G1,Isaacson2024
G14059368198110,0.114,0.228910664818423,0.009058972681948099,5859.857,G1,Isaacson2024
G14029293581553,0.204,0.2223701574061674,0.0099520522010961,5863.28,G3,Isaacson2024
G14083788104990,0.1369999999999999,0.193968911621466,0.0074745263014663,5864.115,G2,Isaacson2024
L14074514684544,0.298,0.2408082221484734,0.0068141818614867,5865.7,G3,Isaacson2024
G14075823875297,0.134,0.1994629857418841,0.0184332230109621,5867.75,G2,Isaacson2024
G14074422397159,0.131,0.1664172305322369,0.012877949305938,5873.7,G2,Isaacson2024
G14027524938248,0.134,0.1940620290926172,0.007734348032608499,5880.024999999999,G2,Isaacson2024
G14074713749967,0.146,0.1884393458746454,0.006093642093934,5883.49,G3,Isaacson2024
G14083795068605,0.15,0.1932579905161729,0.0143696655886189,5886.025,G3,Isaacson2024
G14074970161086,0.138,0.198930560752657,0.0161895780561944,5886.255,G2,Isaacson2024
G14080727880354,0.143,0.19193280174826544,0.009849562142533949,5905.48,G2,Isaacson2024
G14057703631371,0.135,0.1989132070874653,0.0110582374987971,5910.785,G2,Isaacson2024
G14087165671949,0.129,0.17892879346048127,0.0062472423382990494,5915.12,G2,Isaacson2024
G14081886101823,0.151,0.24394640854750285,0.01527420969053315,5915.96,G0,Isaacson2024
G14084301390970,0.152,0.2502731002019701,0.01496801859819655,5916.59,G3,Isaacson2024
G14033528558788,0.12,0.2099328173974751,0.0107295108824044,5917.26,G0,Isaacson2024
G14076202330562,0.126,0.2005218584437661,0.0100234248812807,5920.579999999999,G2,Isaacson2024
G14076591005098,0.116,0.1800461455309903,0.0175762931360215,5921.062999999999,G2,Isaacson2024
L14085635251640,0.125,0.2312653367318621,0.0060853648026558,5922.97,G2,Isaacson2024
G14075004318809,0.121,0.2001581429514534,0.0064859179949632,5923.475000000001,G2,Isaacson2024
G14061422119797,0.162,0.2167036513384428,0.0071528276910094,5924.69,G3,Isaacson2024
G14080310653193,0.227,0.2227309883150705,0.0129099972951742,5935.89,G3,Isaacson2024
G14075376504542,0.223,0.1990579896765069,0.0088607269505207,5937.04,G3,Isaacson2024
G14081832079365,0.139,0.1878322751597903,0.0185472918625625,5938.934,G1,Isaacson2024
G14030234292458,0.172,0.1972462111874089,0.014266494056097302,5942.45,F9,Isaacson2024
G14087114695938,0.143,0.1911787909229428,0.0162024444315614,5943.649999999999,G3,Isaacson2024
G14066060135702,0.269,0.3301914048018153,0.0052283263593792,5946.21,G3,Isaacson2024
G14063941122588,0.122,0.1879615238485829,0.0132358447991796,5947.93,G1,Isaacson2024
G14066028255755,0.122,0.2333113367042982,0.0145139732334956,5958.93,G2,Isaacson2024
G14059369015487,0.126,0.2286090324405117,0.0158736063757764,5964.95,G2,Isaacson2024
G14078845731359,0.135,0.2181903805899747,0.010370623167335849,5970.425,G2,Isaacson2024
G14082476809742,0.12,0.2725714539093008,0.0135446748599592,5971.135,G2,Isaacson2024
G14057443426866,0.115,0.2023582853869757,0.0131769058302543,5979.7,G2,Isaacson2024
G14028836427259,0.136,0.2065123289065188,0.0086675169965408,5985.3,G1,Isaacson2024
G14059515732289,0.145,0.19681050517975446,0.0062861465810462,5985.615,G2,Isaacson2024
G14061702496209,0.126,0.1929891171836837,0.0120145993075155,5988.92,G2,Isaacson2024
G14029942012553,0.133,0.182974000717738,0.00967344846294855,5993.975,F9,Isaacson2024
G14059069854211,0.131,0.2071927947611036,0.0049044709870715,6002.36,G2,Isaacson2024
L14073032615274,0.105,0.2001667440897143,0.0197454655004095,6004.14,G0,Isaacson2024
G14031413575952,0.187,0.2198257381964878,0.007895079548,6018.01,G3,Isaacson2024
G14066252688563,0.149,0.2203720975871841,0.0093622011701636,6025.28,G1,Isaacson2024
G14071745170605,0.248,0.2319977213266589,0.0132341046582681,6025.655,G2,Isaacson2024
G14082966963796,0.147,0.19983274835710943,0.00795193079016525,6029.89,G0,Isaacson2024
G14076439278776,0.145,0.2004494817438672,0.0102798545747511,6030.23,G3,Isaacson2024
G14078086989430,0.122,0.1825153704775345,0.0179404681144431,6032.85,G2,Isaacson2024
G14031238306339,0.141,0.24270822740661738,0.014498619311981898,6033.22,G2,Isaacson2024
G14061570017850,0.199,0.2061171269909918,0.0062241051291238,6036.04,G0,Isaacson2024
G14084930084495,0.106,0.1935818901533278,0.0181010455778951,6036.61,F7,Isaacson2024
G14080022367326,0.132,0.1909022872714331,0.013697686568433,6042.33,F7,Isaacson2024
G14080385755823,0.127,0.2066270588192355,0.0105132785584884,6044.95,G1,Isaacson2024
G14032115795398,0.129,0.2029819669567839,0.0137150041952562,6045.56,F9,Isaacson2024
L14081860828941,0.126,0.2217303833223834,0.013848739037304597,6047.695,F9,Isaacson2024
G14027437160565,0.125,0.2086835432987505,0.0141773128679583,6047.96,F7,Isaacson2024
G14071407925889,0.142,0.19595709648681994,0.0070980918754255,6061.48,F9,Isaacson2024
G14082417916037,0.114,0.1953375355289899,0.0076229507283876,6064.95,G0,Isaacson2024
L14082737564092,0.117,0.2160503859846578,0.0115618196277882,6085.06,F7,Isaacson2024
G14072173453286,0.13,0.1796182711737164,0.0072440297557325,6085.51,F7,Isaacson2024
G14080117104724,0.123,0.18524729997869707,0.021610874028473902,6098.27,F7,Isaacson2024
L14028242587970,0.092,0.1970641902518107,0.0046114543064519,6108.74,G0,Isaacson2024
G14074820408854,0.121,0.1965219722421636,0.0087253677252406,6123.585,F7,Isaacson2024
G14087065622296,0.13,0.2068279820551901,0.0101814082236888,6143.28,F7,Isaacson2024
G14080693922791,0.118,0.1751391288056517,0.0114476550798362,6144.71,F6,Isaacson2024
G14085474252865,0.147,0.1930867330525117,0.0124582389074488,6154.865,F9,Isaacson2024
G14047150620182,0.132,0.1912903719658132,0.0185584242100605,6164.13,F7,Isaacson2024
G14035407934312,0.122,0.1884100153372576,0.0156657623598349,6165.68,G0,Isaacson2024
G14073679484010,0.101,0.203782121671496,0.0147464290884861,6176.22,F6,Isaacson2024
G14029809664078,0.121,0.1801433641276472,0.0096657423461874,6184.35,F7,Isaacson2024
G14071613890170,0.077,0.19818437013472295,0.0062488505952536,6185.823,F7,Isaacson2024
G14033352425548,0.123,0.2146141327342967,0.0135789187749324,6187.35,F6,Isaacson2024
G14034322477174,0.127,0.2070874900227105,0.0209128389725632,6188.37,F7,Isaacson2024
G14076070524504,0.115,0.1841283583894761,0.0104057080754633,6196.61,F8,Isaacson2024
G14024981183242,0.12,0.1858328425137348,0.0097816391903826,6197.465,F8,Isaacson2024
G14087159959433,0.124,0.21165356317389086,0.012893140492414001,6200.495,F9,Isaacson2024
G14035730131669,0.121,0.1976393713461907,0.0074109255577296,6204.525,F8,Isaacson2024
G14063890821534,0.106,0.1910336271048948,0.0051503664010135,6205.13,F6,Isaacson2024
G14024659410481,0.128,0.1832162917499309,0.010008306756576,6207.215,F6,Isaacson2024
G14058969794548,0.125,0.1907968520233444,0.0130501208490637,6209.98,F9,Isaacson2024
G14083972269163,0.124,0.22188972158088918,0.0065909827687903,6224.793000000001,F7,Isaacson2024
G14071800409345,0.084,0.2023606652238195,0.0177505976600846,6229.1,F5,Isaacson2024
G14086192317247,0.11,0.1957706153776148,0.0084305539790984,6229.26,F7,Isaacson2024
