starid,Prot,ref,source,source_id,Porb,eccentricity,semi_amplitude_primary,massfunc
KIC2577743,31.93,santos19,kepler,Gaia DR3 2051905339885506944,114.1431578851823,0.4971605422152889,,
KIC2581101,24.88,santos19,kepler,Gaia DR3 2051869090360684800,214.34141792170072,0.2720151402620515,,
KIC2835051,35.43,santos19,kepler,Gaia DR3 2099209663003232000,584.171170175823,0.6138725691533591,,
KIC2851128,17.72,santos19,kepler,Gaia DR3 2052574873745299968,447.7630002825894,0.6382256301175698,,
KIC3354968,4.54,santos19,kepler,Gaia DR3 2052124829897596416,641.7468078905979,0.328866568830073,,
KIC3530492,21.81,santos19,kepler,Gaia DR3 2099614420720825472,462.7427930549755,0.3284547031316957,,
KIC3953970,1.59,santos19,kepler,Gaia DR3 2052761550205895808,496.5733640336693,0.2818082962153559,,
KIC4367215,25.58,santos19,kepler,Gaia DR3 2053163249907919616,580.6978539748533,0.1924558804708039,,
KIC4737215,23.21,santos19,kepler,Gaia DR3 2101231390009035392,661.4019872043465,0.509676458311644,,
KIC4832572,40.14,santos19,kepler,Gaia DR3 2053068863705394560,470.1186988924485,0.6891825839820002,,
KIC5078404,28.78,santos19,kepler,Gaia DR3 2103508616026954112,462.5023279994396,0.6147998890476186,,
KIC5109927,34.7,santos19,kepler,Gaia DR3 2076499937532012416,533.2086380210917,0.5265248523659156,,
KIC5344121,28.19,santos19,kepler,Gaia DR3 2103390968283574784,913.568822812026,0.6802638676711127,3.795736036775909,0.0020384130691149566
KIC5356467,21.51,santos19,kepler,Gaia DR3 2101362712931802880,505.2571019648661,0.5866920063441525,,
KIC5372687,18.86,santos19,kepler,Gaia DR3 2076553744883874176,558.7592713158825,0.4191708212125016,,
KIC5457269,48.4,santos19,kepler,Gaia DR3 2076570542489174400,445.1346124260963,0.3969309684596068,,
KIC6103862,40.42,santos19,kepler,Gaia DR3 2103723845428497792,531.4988627007004,0.33819665662362,,
KIC6204699,23.38,santos19,kepler,Gaia DR3 2101660886739736576,549.863989922653,0.7554294887621564,,
KIC6606194,22.27,santos19,kepler,Gaia DR3 2101741662182227840,529.107683540039,0.2352437364068406,,
KIC6619645,49.08,santos19,kepler,Gaia DR3 2077107589506059520,475.448716455081,0.519917535071242,,
KIC6626854,26.84,santos19,kepler,Gaia DR3 2076962831928846464,759.2856189001008,0.1208315335903785,,
KIC7024045,20.21,santos19,kepler,Gaia DR3 2102707965406251136,477.78783233222094,0.3705971620320002,,
KIC7280953,15.75,santos19,kepler,Gaia DR3 2125983767572363392,15.368507186686706,0.2887556600048761,29.791503462596783,0.03694895568593579
KIC7293293,2.29,santos19,kepler,Gaia DR3 2077962769032766080,647.1476377973507,0.144802635830335,,
KIC7416664,50.11,santos19,kepler,Gaia DR3 2116809442547969024,423.2999063844519,0.17609864160094,,
KIC7423040,15.0,santos19,kepler,Gaia DR3 2105081600550149376,147.0758091497022,0.5123479268856556,,
KIC7449230,29.39,santos19,kepler,Gaia DR3 2077837184187016320,315.887684140283,0.1343183285214586,,
KIC7590933,27.61,santos19,kepler,Gaia DR3 2105744472922817408,139.81670454815244,0.1597725866648181,,
KIC7617158,32.17,santos19,kepler,Gaia DR3 2077986786489996288,171.87191338779337,0.6122489809140023,,
KIC7619403,14.23,santos19,kepler,Gaia DR3 2078069318579951744,556.5974655239185,0.3655779618245834,,
KIC7751342,12.1,santos19,kepler,Gaia DR3 2126040701660096640,648.5519177794177,0.1639008033946798,,
KIC7867585,19.39,santos19,kepler,Gaia DR3 2116934511995603328,620.8615604107666,0.3203949835916281,,
KIC7881668,41.55,santos19,kepler,Gaia DR3 2103014591710754816,114.31353114028236,0.3804808830803321,,
KIC7898781,31.71,santos19,kepler,Gaia DR3 2078288774226422656,516.5647168975937,0.3926314201766078,,
KIC8247693,35.42,santos19,kepler,Gaia DR3 2078832998127070336,578.8196349233882,0.4610042229388943,,
KIC8431125,30.0,santos19,kepler,Gaia DR3 2126549530725918848,21.154232149101045,0.3696494643984045,35.87028229107562,0.08115178820462324
KIC8482464,29.59,santos19,kepler,Gaia DR3 2106290964560904960,446.2376090332992,0.3489861082179247,,
KIC8520954,27.6,santos19,kepler,Gaia DR3 2076123664039091712,141.58858733190388,0.3807730903886272,,
KIC8800705,45.16,santos19,kepler,Gaia DR3 2106890713793978496,206.05334761221457,0.0861239384784249,,
KIC8806732,30.01,santos19,kepler,Gaia DR3 2106325496098638080,323.5951999694043,0.4125096486024631,,
KIC9107656,28.78,santos19,kepler,Gaia DR3 2079377977936803200,589.9039315926115,0.1817523334616025,,
KIC9139648,14.29,santos19,kepler,Gaia DR3 2107195072356697600,436.3260336440688,0.3368334465501524,,
KIC9141571,63.42,santos19,kepler,Gaia DR3 2106410227213341056,131.78669094402062,0.3977915357904711,,
KIC9446775,31.71,santos19,kepler,Gaia DR3 2119088386553544320,577.0531281959792,0.1724190332017639,,
KIC9450529,23.87,santos19,kepler,Gaia DR3 2107236338402873728,224.12862211085292,0.3157897310600593,,
KIC9540467,8.38,santos19,kepler,Gaia DR3 2080263497110638336,337.104562772627,0.028643069694096,,
KIC9656310,31.93,santos19,kepler,Gaia DR3 2128129601953462784,158.4384515037861,0.1915903717281257,,
KIC9711202,24.03,santos19,kepler,Gaia DR3 2128310059298785024,427.00850077826703,0.2872426572469934,,
KIC9752189,0.84,santos19,kepler,Gaia DR3 2119143121617123712,307.65183981378885,0.1358856365949155,,
KIC9834661,27.61,santos19,kepler,Gaia DR3 2128187223236659072,171.95738552780313,0.3813185090178376,,
KIC10154579,12.71,santos19,kepler,Gaia DR3 2080561258602976896,553.8338008589172,0.2513922935892128,,
KIC10230145,41.55,santos19,kepler,Gaia DR3 2085670242462975488,309.3139909070352,0.1979457290677209,,
KIC10263691,0.45,santos19,kepler,Gaia DR3 2130674009296549760,531.890068625439,0.080586677107211,,
KIC10324900,18.73,santos19,kepler,Gaia DR3 2131415178914091776,729.8731378797443,0.0286822682104545,,
KIC10548508,9.17,santos19,kepler,Gaia DR3 2086589674699171328,424.51838240749805,0.6861819009634934,,
KIC10556022,25.06,santos19,kepler,Gaia DR3 2085715425519509760,600.8189659456615,0.2144367343049944,,
KIC10801273,28.38,santos19,kepler,Gaia DR3 2128853114964897152,109.05671296825044,0.2832567746709812,,
KIC10853806,27.8,santos19,kepler,Gaia DR3 2131013002475932288,466.6597445799644,0.2705755073271333,,
KIC11025991,19.79,santos19,kepler,Gaia DR3 2129479011957044480,295.4645109412056,0.5806785906740979,,
KIC11128748,20.49,santos19,kepler,Gaia DR3 2131221153770157056,579.0902259794719,0.1785192273321277,,
KIC11514078,25.22,santos19,kepler,Gaia DR3 2134842738916439424,445.13401892396234,0.2456357618950178,,
KIC11858760,35.19,santos19,kepler,Gaia DR3 2132722635679268352,322.4247007814183,0.3144139712315296,,
KIC11903656,40.14,santos19,kepler,Gaia DR3 2132169173311357312,427.56607337639207,0.3086024323572209,,
KIC11913531,20.36,santos19,kepler,Gaia DR3 2130092848681850112,548.3902938300415,0.389394105934839,,
KIC11963521,15.0,santos19,kepler,Gaia DR3 2130104565352751360,461.4851384142689,0.1523367646132114,,
KIC11974938,42.72,santos19,kepler,Gaia DR3 2087275117119674240,553.2261912161962,0.1598295712669173,,
KIC12159742,22.42,santos19,kepler,Gaia DR3 2136131435260783616,199.4378986014413,0.1440076081229379,,
KIC12203198,24.88,santos19,kepler,Gaia DR3 2133319846588923392,169.53148969689985,0.0872185539607412,,
KIC12350962,35.92,santos19,kepler,Gaia DR3 2133379598174190720,283.8309626231848,0.2560655024044332,,
KIC12556280,23.21,santos19,kepler,Gaia DR3 2133227350174151168,815.13687967069,0.4613473936838362,,
KIC12600256,24.03,santos19,kepler,Gaia DR3 2133451306947801856,670.172425697647,0.3599998229451978,,
KIC12647383,31.71,santos19,kepler,Gaia DR3 2139226732291065472,889.8169652750645,2.760626153683167e-05,,
KIC757099,0.36,santos21,kepler,Gaia DR3 2050233601176543104,211.3397042591432,0.5924276625623138,,
KIC1297347,13.24,santos21,kepler,Gaia DR3 2051688667374073472,635.2189918940737,0.314367095548603,,
KIC1434259,8.56,santos21,kepler,Gaia DR3 2051704232335480320,8.715017890202484,0.0314617154838972,47.707284632808175,0.09790082315280764
KIC1701554,2.87,santos21,kepler,Gaia DR3 2099066142376993152,2.8616734849378997,0.0176043627568691,91.07590411303144,0.22389156829246595
